001  00001 |Loss: 2.136 | Acc: 0.000% 
001  00002 |Loss: 1.797 | Acc: 20.000% 
001  00003 |Loss: 1.657 | Acc: 30.000% 
001  00004 |Loss: 1.474 | Acc: 39.000% 
001  00005 |Loss: 1.388 | Acc: 43.000% 
001  00006 |Loss: 1.336 | Acc: 44.000% 
001  00007 |Loss: 1.297 | Acc: 47.000% 
001  00008 |Loss: 1.227 | Acc: 50.000% 
001  00009 |Loss: 1.147 | Acc: 53.000% 
001  00010 |Loss: 1.090 | Acc: 54.000% 
001  00011 |Loss: 1.019 | Acc: 57.000% 
001  00012 |Loss: 0.978 | Acc: 58.000% 
001  00013 |Loss: 0.926 | Acc: 59.000% 
001  00014 |Loss: 0.878 | Acc: 61.000% 
001  00015 |Loss: 0.846 | Acc: 62.000% 
001  00016 |Loss: 0.813 | Acc: 64.000% 
001  00017 |Loss: 0.780 | Acc: 65.000% 
001  00018 |Loss: 0.756 | Acc: 66.000% 
001  00019 |Loss: 0.735 | Acc: 67.000% 
001  00020 |Loss: 0.708 | Acc: 68.000% 
001  00021 |Loss: 0.703 | Acc: 68.000% 
001  00022 |Loss: 0.682 | Acc: 69.000% 
001  00023 |Loss: 0.662 | Acc: 69.000% 
001  00024 |Loss: 0.644 | Acc: 70.000% 
001  00025 |Loss: 0.637 | Acc: 70.000% 
001  00026 |Loss: 0.619 | Acc: 71.000% 
001  00027 |Loss: 0.618 | Acc: 71.000% 
001  00028 |Loss: 0.605 | Acc: 71.000% 
001  00029 |Loss: 0.595 | Acc: 72.000% 
001  00030 |Loss: 0.590 | Acc: 72.000% 
001  00031 |Loss: 0.576 | Acc: 73.000% 
001  00032 |Loss: 0.569 | Acc: 73.000% 
001  00033 |Loss: 0.558 | Acc: 74.000% 
001  00034 |Loss: 0.553 | Acc: 74.000% 
001  00035 |Loss: 0.558 | Acc: 74.000% 
001  00036 |Loss: 0.555 | Acc: 74.000% 
001  00037 |Loss: 0.547 | Acc: 75.000% 
001  00038 |Loss: 0.540 | Acc: 75.000% 
001  00039 |Loss: 0.536 | Acc: 75.000% 
001  00040 |Loss: 0.528 | Acc: 75.000% 
001  00041 |Loss: 0.525 | Acc: 75.000% 
001  00042 |Loss: 0.520 | Acc: 76.000% 
001  00043 |Loss: 0.514 | Acc: 76.000% 
001  00044 |Loss: 0.506 | Acc: 76.000% 
001  00045 |Loss: 0.500 | Acc: 76.000% 
001  00046 |Loss: 0.493 | Acc: 76.000% 
001  00047 |Loss: 0.489 | Acc: 77.000% 
001  00048 |Loss: 0.484 | Acc: 77.000% 
001  00049 |Loss: 0.479 | Acc: 77.000% 
001  00050 |Loss: 0.474 | Acc: 77.000% 
001  00051 |Loss: 0.467 | Acc: 78.000% 
001  00052 |Loss: 0.461 | Acc: 78.000% 
001  00053 |Loss: 0.456 | Acc: 78.000% 
001  00054 |Loss: 0.453 | Acc: 78.000% 
001  00055 |Loss: 0.454 | Acc: 78.000% 
001  00056 |Loss: 0.448 | Acc: 79.000% 
001  00057 |Loss: 0.443 | Acc: 79.000% 
002  00058 |Loss: 0.231 | Acc: 84.000% 
002  00059 |Loss: 0.191 | Acc: 87.000% 
002  00060 |Loss: 0.178 | Acc: 88.000% 
002  00061 |Loss: 0.197 | Acc: 88.000% 
002  00062 |Loss: 0.188 | Acc: 88.000% 
002  00063 |Loss: 0.199 | Acc: 87.000% 
002  00064 |Loss: 0.190 | Acc: 88.000% 
002  00065 |Loss: 0.181 | Acc: 89.000% 
002  00066 |Loss: 0.180 | Acc: 88.000% 
002  00067 |Loss: 0.189 | Acc: 88.000% 
002  00068 |Loss: 0.192 | Acc: 88.000% 
002  00069 |Loss: 0.187 | Acc: 88.000% 
002  00070 |Loss: 0.190 | Acc: 88.000% 
002  00071 |Loss: 0.188 | Acc: 88.000% 
002  00072 |Loss: 0.195 | Acc: 88.000% 
002  00073 |Loss: 0.196 | Acc: 88.000% 
002  00074 |Loss: 0.194 | Acc: 88.000% 
002  00075 |Loss: 0.193 | Acc: 88.000% 
002  00076 |Loss: 0.194 | Acc: 88.000% 
002  00077 |Loss: 0.197 | Acc: 87.000% 
002  00078 |Loss: 0.193 | Acc: 87.000% 
002  00079 |Loss: 0.193 | Acc: 88.000% 
002  00080 |Loss: 0.198 | Acc: 87.000% 
002  00081 |Loss: 0.195 | Acc: 88.000% 
002  00082 |Loss: 0.192 | Acc: 88.000% 
002  00083 |Loss: 0.187 | Acc: 88.000% 
002  00084 |Loss: 0.187 | Acc: 88.000% 
002  00085 |Loss: 0.184 | Acc: 89.000% 
002  00086 |Loss: 0.181 | Acc: 89.000% 
002  00087 |Loss: 0.182 | Acc: 89.000% 
002  00088 |Loss: 0.187 | Acc: 89.000% 
002  00089 |Loss: 0.193 | Acc: 89.000% 
002  00090 |Loss: 0.196 | Acc: 89.000% 
002  00091 |Loss: 0.193 | Acc: 89.000% 
002  00092 |Loss: 0.190 | Acc: 89.000% 
002  00093 |Loss: 0.191 | Acc: 89.000% 
002  00094 |Loss: 0.189 | Acc: 89.000% 
002  00095 |Loss: 0.190 | Acc: 89.000% 
002  00096 |Loss: 0.188 | Acc: 89.000% 
002  00097 |Loss: 0.190 | Acc: 89.000% 
002  00098 |Loss: 0.189 | Acc: 89.000% 
002  00099 |Loss: 0.189 | Acc: 89.000% 
002  00100 |Loss: 0.187 | Acc: 89.000% 
002  00101 |Loss: 0.185 | Acc: 89.000% 
002  00102 |Loss: 0.182 | Acc: 90.000% 
002  00103 |Loss: 0.183 | Acc: 90.000% 
002  00104 |Loss: 0.183 | Acc: 90.000% 
002  00105 |Loss: 0.182 | Acc: 90.000% 
002  00106 |Loss: 0.180 | Acc: 90.000% 
002  00107 |Loss: 0.179 | Acc: 90.000% 
002  00108 |Loss: 0.179 | Acc: 90.000% 
002  00109 |Loss: 0.176 | Acc: 90.000% 
002  00110 |Loss: 0.174 | Acc: 90.000% 
002  00111 |Loss: 0.172 | Acc: 90.000% 
002  00112 |Loss: 0.170 | Acc: 91.000% 
002  00113 |Loss: 0.170 | Acc: 91.000% 
002  00114 |Loss: 0.168 | Acc: 91.000% 
003  00115 |Loss: 0.030 | Acc: 100.000% 
003  00116 |Loss: 0.034 | Acc: 100.000% 
003  00117 |Loss: 0.035 | Acc: 100.000% 
003  00118 |Loss: 0.043 | Acc: 99.000% 
003  00119 |Loss: 0.036 | Acc: 99.000% 
003  00120 |Loss: 0.037 | Acc: 98.000% 
003  00121 |Loss: 0.042 | Acc: 98.000% 
003  00122 |Loss: 0.044 | Acc: 98.000% 
003  00123 |Loss: 0.041 | Acc: 98.000% 
003  00124 |Loss: 0.050 | Acc: 98.000% 
003  00125 |Loss: 0.047 | Acc: 98.000% 
003  00126 |Loss: 0.051 | Acc: 97.000% 
003  00127 |Loss: 0.048 | Acc: 98.000% 
003  00128 |Loss: 0.052 | Acc: 97.000% 
003  00129 |Loss: 0.063 | Acc: 97.000% 
003  00130 |Loss: 0.060 | Acc: 97.000% 
003  00131 |Loss: 0.059 | Acc: 97.000% 
003  00132 |Loss: 0.062 | Acc: 97.000% 
003  00133 |Loss: 0.062 | Acc: 97.000% 
003  00134 |Loss: 0.068 | Acc: 97.000% 
003  00135 |Loss: 0.078 | Acc: 96.000% 
003  00136 |Loss: 0.085 | Acc: 96.000% 
003  00137 |Loss: 0.084 | Acc: 96.000% 
003  00138 |Loss: 0.087 | Acc: 96.000% 
003  00139 |Loss: 0.090 | Acc: 96.000% 
003  00140 |Loss: 0.094 | Acc: 96.000% 
003  00141 |Loss: 0.105 | Acc: 95.000% 
003  00142 |Loss: 0.110 | Acc: 95.000% 
003  00143 |Loss: 0.115 | Acc: 95.000% 
003  00144 |Loss: 0.115 | Acc: 95.000% 
003  00145 |Loss: 0.117 | Acc: 95.000% 
003  00146 |Loss: 0.119 | Acc: 95.000% 
003  00147 |Loss: 0.119 | Acc: 95.000% 
003  00148 |Loss: 0.120 | Acc: 95.000% 
003  00149 |Loss: 0.120 | Acc: 95.000% 
003  00150 |Loss: 0.120 | Acc: 95.000% 
003  00151 |Loss: 0.117 | Acc: 95.000% 
003  00152 |Loss: 0.117 | Acc: 95.000% 
003  00153 |Loss: 0.117 | Acc: 95.000% 
003  00154 |Loss: 0.117 | Acc: 95.000% 
003  00155 |Loss: 0.118 | Acc: 94.000% 
003  00156 |Loss: 0.118 | Acc: 94.000% 
003  00157 |Loss: 0.116 | Acc: 94.000% 
003  00158 |Loss: 0.123 | Acc: 94.000% 
003  00159 |Loss: 0.124 | Acc: 94.000% 
003  00160 |Loss: 0.125 | Acc: 94.000% 
003  00161 |Loss: 0.125 | Acc: 94.000% 
003  00162 |Loss: 0.124 | Acc: 94.000% 
003  00163 |Loss: 0.123 | Acc: 94.000% 
003  00164 |Loss: 0.124 | Acc: 94.000% 
003  00165 |Loss: 0.130 | Acc: 94.000% 
003  00166 |Loss: 0.128 | Acc: 94.000% 
003  00167 |Loss: 0.126 | Acc: 94.000% 
003  00168 |Loss: 0.126 | Acc: 94.000% 
003  00169 |Loss: 0.125 | Acc: 94.000% 
003  00170 |Loss: 0.124 | Acc: 94.000% 
003  00171 |Loss: 0.126 | Acc: 94.000% 
004  00172 |Loss: 0.018 | Acc: 100.000% 
004  00173 |Loss: 0.017 | Acc: 100.000% 
004  00174 |Loss: 0.029 | Acc: 98.000% 
004  00175 |Loss: 0.034 | Acc: 98.000% 
004  00176 |Loss: 0.032 | Acc: 98.000% 
004  00177 |Loss: 0.062 | Acc: 97.000% 
004  00178 |Loss: 0.087 | Acc: 95.000% 
004  00179 |Loss: 0.081 | Acc: 96.000% 
004  00180 |Loss: 0.077 | Acc: 96.000% 
004  00181 |Loss: 0.073 | Acc: 96.000% 
004  00182 |Loss: 0.069 | Acc: 97.000% 
004  00183 |Loss: 0.071 | Acc: 97.000% 
004  00184 |Loss: 0.069 | Acc: 97.000% 
004  00185 |Loss: 0.066 | Acc: 97.000% 
004  00186 |Loss: 0.062 | Acc: 97.000% 
004  00187 |Loss: 0.061 | Acc: 97.000% 
004  00188 |Loss: 0.058 | Acc: 97.000% 
004  00189 |Loss: 0.056 | Acc: 98.000% 
004  00190 |Loss: 0.054 | Acc: 98.000% 
004  00191 |Loss: 0.052 | Acc: 98.000% 
